id,name,latitude,longitude
nepa1250,Nepalese Sign Language,27.6993,85.30407
newz1236,New Zealand Sign Language,-39.29225,175.77257
nica1238,Nicaraguan Sign Language,12.2509,273.66013
nige1240,Nigerian Sign Language,6.49997,3.16664
norw1255,Norwegian Sign Language,60.77328,10.24198
oldb1247,Old Bangkok Sign Language,NA,NA
oldc1248,Old Cayman Sign Language,19.333333,-81.216667
oldk1238,Old Kentish Sign Language,51.12,0.98
orig1234,Original Costa Rican Sign Language,9.935135,-84.010539
paki1242,Pakistan Sign Language,28.06668,67.88427
pana1308,Panamanian Sign Language,8.966667,280.466667
papu1255,Papua New Guinean Sign Language,-9.5,147.116667
para1318,Paraguayan Sign Language,-25.266667,302.333333
pena1248,Penang Sign Language,5.375,100.254
pers1244,Zaban Eshareh Irani,35.69219,51.09964
peru1235,Peruvian Sign Language,-11.90078,283.17869
phil1239,Philippine Sign Language,16.91598,121.51221
plai1235,Plains Indian Sign Language,38.39406,260.75011
poli1259,Polish Sign Language,52.00414,20.76105
port1277,Portuguese Sign Language,38.54741,-8.53355
prov1243,Providencia Sign Language,13.348416,-81.373888
puer1237,Puerto Rican Sign Language,18.45917,293.90808
queb1245,Quebec Sign Language,45.99654,285.12807
roma1324,Romanian Sign Language,44.92922,26.2924
russ1255,Russian Sign Language,56,44
salv1237,Salvadoran Sign Language,13.7024,270.40119
saud1238,Saudi Arabian Sign Language,23.61401,46.47139
sela1253,Selangor Sign Language,3.13489,101.61389
sier1246,Sierra Leone Sign Language,8.483,-13.235
sina1273,Sinasina Sign Language,-6.1,145
slov1263,Slovakian Sign Language,48.04632,18.12475
solo1262,Solomon Islands Sign Language,-9.45,159.97
sout1404,South African Sign Language,-25.96551,28.11864
span1263,Spanish Sign Language,40.03136,-3.70738
sril1237,Sri Lankan Sign Language,7.10588,79.85696
swed1236,Swedish Sign Language,58.92897,16.11326
swis1235,Swiss-Italian Sign Language,46.30761,8.79111
swis1240,Swiss-German Sign Language,47.10693,9.07557
swis1241,Swiss-French Sign Language,46.72252,6.78425
taiw1241,Taiwan Sign Language,25.02062,121.30519
tanz1238,Tanzanian Sign Language,-6.82431,39.12697
tebu1240,Tebul Sign Language,14.499995,-3.499957
thai1240,Thai Sign Language,13.7837,100.44545
tibe1277,Tibetan Sign Language,29.651803,91.157981
trin1277,Trinidad and Tobago Sign Language,10.666667,298.483333
tuni1249,Tunisian Sign Language,36.49562,10.03348
turk1288,Turkish Sign Language,41.02675,28.85551
ugan1238,Ugandan Sign Language,0.2475,32.4829
ukra1235,Ukrainian Sign Language,50.41113,30.55304
urub1243,Urubú-Kaapor Sign Language,-2.54091,-46.42134
urug1238,Uruguayan Sign Language,-34.59671,303.5491
vale1251,Valencian Sign Language,39.5,-0.75
vene1237,Venezuelan Sign Language,10.32937,293.23216
vlaa1235,Vlaamse Gebarentaal,50.8021,4.31312
yeme1237,Yemeni Sign Language,15.354531,44.200281
yogy1234,Yogyakarta Sign Langauge,-7.800018,110.368664
yoln1234,Yolngu Sign Language,-12.283333,136.816667
yoru1246,Yoruba Sign Language,7.15,3.66
yuca1236,Yucatec Maya Sign Language,20.49999,-88.99999
yugo1238,Yugoslavian Sign Language,45.39123,17.519265
zamb1239,Zambian Sign Language,-15.51343,28.98984
zimb1247,Zimbabwe Sign Language,-17.9128,31.0216
angl1242,Anglo-Saxon Monastic Sign Language,NA,NA
augu1237,Augustinian Sign Language,NA,NA
bang1373,Bangalore-Madras Indian Sign Language,NA,NA
bene1236,Benedictine Sign Language,NA,NA
bomb1264,Bombay Indian Sign Language,NA,NA
buda1244,Hungarian Sign Language,47.49236,19.052084
calc1236,Calcutta Indian Sign Language,NA,NA
cist1236,Cistercian Sign Language,NA,NA
debr1240,Debrecen,NA,NA
delh1234,Delhi Indian Sign Language,NA,NA
eger1238,Eger,NA,NA
holm1236,Holmestrand,NA,NA
kaoh1238,Kaohsiung,NA,NA
kolk1234,Indian Sign Language,22.606042,88.394224
mars1235,Marseille Sign Language,43.292301,5.370187
masv1236,Masvingo School Sign,NA,NA
misk1242,Miskolc,NA,NA
opor1243,Oporto,NA,NA
shan1269,Chinese Sign Language,30.91,121.57
shil1266,Shillong Indian Sign Language,NA,NA
sopr1238,Sopron,NA,NA
szeg1238,Szeged,NA,NA
tain1241,Tainan,NA,NA
trap1238,Trappist Sign Language,NA,NA
tron1237,Trondheim,NA,NA
zimb1235,Zimbabwe Sign Language,-17.91,31.02
zimb1248,Zimbabwe Community Sign,NA,NA
inu1247,Inuit Sign Language,63.748611,-68.519722
nocode_french-harbour,French Harbour Sign Language,16.357260,-86.461386
nocode_south-rupununi,South Rupununi Sign Language,3.858056,-59.048261
nocode_douentza-sign,Douentza Sign Languages,15.006344,-2.956465
nocode_berbey-sign,Berbey Sign Language,15.278462,-1.769086
